,As an individual: What problem am I trying to solve?,,, As a member of groups/teams: What problem(s) are we trying to solve?
,,,, 
X,A Balance Issue?,,X, What problem(s) are the groups/teams trying to solve?
,To balance studies and household life?,,Notes:, ""
,To balance accessing income and household life?,,, 
X,To balance earning an income and household life?,,X, Am I trying to solve the same problem(s) as my groups/teams?
Notes:,"",,, Yes
,To balance helping others and household life?,,Notes:, ""
,,,, 
,A Workplace Issue?,,X, Is entering the group problem-solving process consistent with harmony at home?
,To solve a need to be more appreciated at work?,,, Yes
,To solve a need to remain appreciated at work?,,Notes:, ""
,,,, 
,A Legacy Issue?,,X, Is entering the group problem-solving process consistent with appreciability at work?
,To have better legacies to leave to our children/others?,,, Yes
,,,Notes:, ""
X,Is the issue of another type?,,, 
Notes:,"",,X, Is entering the group problem-solving process consistent with my income earning ability?
,,,, Yes
,,,Notes:, ""
